Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
7654,82452.0,C1=CC(=CC=C1CCCO)O,4.104e+004 mg/L @ 25 °C (est),
7655,82556.0,CCCCCCC=CCCO,204.8 mg/L @ 25 °C (est),
7656,82571.0,C1=CC2=C(C=CC(=C2)C(=O)O)N=C1,0.90 M,
7657,82607.0,C1=CC(=C(C=C1[N+](=O)[O-])N)Br,2.77e-04 M,
7658,82634.0,C1(=NN=C(S1)N)C(F)(F)F,17 [ug/mL],17 [ug/mL] (The mean of the results at pH 7.4)
7659,82635.0,CCCCCCCCCC(=O)OCCCCCC,Insoluble in water; soluble in non-polar solvents,Insoluble in water; soluble in non-polar solvents
7660,82641.0,CCOP(=O)(OC)OC,3.24 M,
7661,82664.0,CCCCOC1=CC2=CC=CC=C2C=C1,Insoluble in water; Soluble in non-polar organic solvents and fats,Insoluble in water; Soluble in non-polar organic solvents and fats
7662,82755.0,C1=CC(=C(C=C1CCO)O)O,2.716e+005 mg/L @ 25 °C (est),
7663,82916.0,C1/C=C\CC/C=C\C1,"INSOL IN WATER; SOL IN BENZENE, CARBON TETRACHLORIDE","INSOL IN WATER; SOL IN BENZENE, CARBON TETRACHLORIDE"
7664,83036.0,CC(C)CCOC(C)OCCC(C)C,16.19 mg/L @ 25 °C (est),Soluble in non-polar solvents; insoluble in water
7665,83052.0,CC(C)OCC(COC(C)C)O,1.13 M,
7666,83055.0,CC1=NN(C(=O)C1)C2=CC=C(C=C2)Cl,26 [ug/mL],26 [ug/mL] (The mean of the results at pH 7.4)
7667,83101.0,CCC1=CN=CC(=N1)CC,1645 mg/L @ 25 °C (est),
7668,83151.0,CC(=O)C1=CC(=C(C=C1)O)C(=O)O,0.01 M,
7669,83187.0,C1=CC=NC(=C1)NC(=O)C2=CN=CC=C2,0.00 M,
7670,83416.0,CC1(CC2=C(O1)C(=CC=C2)[N+](=O)[O-])C,6.21e-04 M,
7671,83574.0,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCCC,3.912e-010 mg/L @ 25 °C (est),
7672,83631.0,CN(C)CC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,34.3 [ug/mL],34.3 [ug/mL] (The mean of the results at pH 7.4)
7673,83652.0,CC(=O)C(=O)C1=CC=CS1,1.167e+004 mg/L @ 25 °C (est),
7674,83653.0,CC1=C(SC=C1)C(=O)C,1510 mg/L @ 25 °C (est),
7675,83655.0,CC1=CC=C(S1)C(=O)C,1510 mg/L @ 25 °C (est),Very slightly soluble in water
7676,83671.0,CCCC(=O)C(=O)CC,7.141e+004 mg/L @ 25 °C (est),
7677,83697.0,CC(C)C[C@@H](C(=O)O)O,1.655e+005 mg/L @ 25 °C (est),
7678,83699.0,CC1=NC=CN1CC2=CC=CC=C2,24.7 [ug/mL],24.7 [ug/mL] (The mean of the results at pH 7.4)
7679,83763.0,CC(C)C1CCC(CC1)CO,Practically insoluble or insoluble in water,Practically insoluble or insoluble in water
7680,83797.0,CC(=O)CC=C,3.863e+004 mg/L @ 25 °C (est),
7681,83823.0,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,>69.2 [ug/mL],>69.2 [ug/mL] (The mean of the results at pH 7.4)
7682,83887.0,C([C@H](C(=O)O)N)C(=O)O,1e+006 mg/L @ 25 °C (est),
