Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
3000,9625.0,C(F)(F)(Cl)Br,Solubility in water: none,Solubility in water: none
3001,9632.0,C(C(F)(F)Cl)(F)F,"In water, 466 mg/L at 25 °C (est)",
3002,9633.0,C(C(F)(F)F)(F)F,"In water, 923 mg/L at 25 °C (est)",
3003,9635.0,C(C(Cl)(Cl)Cl)(F)(F)F,"In water, 28.93 mg/L at 25 °C (est)","Soluble in ethanol, chloroform, ethyl ether; insoluble in water"
3004,9638.0,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,"In water, 10.56 mg/L at 25 °C (est)","Soluble in benzene, chloroform"
3005,9639.0,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,"In water, 0.3779 mg/L at 25 °C (est)","Soluble in ethyl ether, benzene, chloroform"
3006,9651.0,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,"Crystals from water; decomposition 256-257 °C. Sparingly sol in cold; more sol in hot water. Very sparingly sol in alcohol, acetone. /Hydrochloride/","Crystals from water; decomposition 256-257 °C. Sparingly sol in cold; more sol in hot water. Very sparingly sol in alcohol, acetone. /Hydrochloride/"
3007,9665.0,C(=C(F)F)F,Slightly soluble in ethanol; soluble in ether,Slightly soluble in ethanol; soluble in ether
3008,9679.0,C1=NC(=C(N1)C(=O)N)N,>18.9 [ug/mL],>18.9 [ug/mL] (The mean of the results at pH 7.4)
3009,9681.0,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,"MP IS UNCHARACTERISTIC SHOWING DECOMP ABOVE APPROX 165 °C; ODORLESS OR HAS NOT MORE THAN SLIGHT ODOR; WHITE TO YELLOWISH WHITE OR REDDISH WHITE CRYSTALLINE POWDER; 1 G SOL IN 200 ML WATER, 165 ML ALCOHOL, 3400 ML CHLOROFORM; PRACTICALLY INSOL IN ETHER /MALEATE/","MP IS UNCHARACTERISTIC SHOWING DECOMP ABOVE APPROX 165 °C; ODORLESS OR HAS NOT MORE THAN SLIGHT ODOR; WHITE TO YELLOWISH WHITE OR REDDISH WHITE CRYSTALLINE POWDER; 1 G SOL IN 200 ML WATER, 165 ML ALCOHOL, 3400 ML CHLOROFORM; PRACTICALLY INSOL IN ETHER /MALEATE/"
3010,9703.0,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl,"greater than or equal to 100 mg/mL at 70.7° F (NTP, 1992)","greater than or equal to 100 mg/mL at 70.7 °F (NTP, 1992)"
3011,9709.0,C1=CC(=C(C=C1F)F)N,"10 to 50 mg/mL at 68.9° F (NTP, 1992)","10 to 50 mg/mL at 68.9 °F (NTP, 1992)"
3012,9714.0,C1=CC=C(C=C1)NC2=NC(=NC(=N2)N)C(F)(F)F,>38.3 [ug/mL],>38.3 [ug/mL] (The mean of the results at pH 7.4)
3013,9717.0,C1=CC=C(C=C1)[N+]#N.F[P-](F)(F)(F)(F)F,0.04 M,
3014,9731.0,C1=CC(=CC=C1N)F,"In water, 33 g/L at 20 °C","In water, 33 g/L at 20 °C"
3015,9737.0,C(CF)O,15.61 M,"Miscible in ethanol, ethyl ether; very soluble in acetone"
3016,9738.0,CC(C)NP(=O)(NC(C)C)F,0.44 M,Soluble in polar organic solvents and slightly soluble in petroleum ether.
3017,9740.0,C(C#N)C(=O)O,"Sol in water, alcohol, ether; slightly sol in benzene, chloroform","Sol in water, alcohol, ether; slightly sol in benzene, chloroform"
3018,9741.0,C1=CC(=CC(=C1)F)F,0.01 M,
3019,9756.0,CC(=O)[O-].CC(=O)[O-].[Ni+2],INSOL IN ALCOHOL,INSOL IN ALCOHOL
3020,9775.0,C(C(F)(Cl)Cl)(F)(F)F,8.01e-04 M,"In water,137 mg/L at 25 °C"
3021,9787.0,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,"less than 1 mg/mL at 68° F (NTP, 1992)","less than 1 mg/mL at 68 °F (NTP, 1992)"
3022,9788.0,C(C(=O)O)(F)F,10.41 M,
3023,9808.0,C1=CC=C(C(=C1)C(=O)Cl)F,"Decomposes (NTP, 1992)","Decomposes (NTP, 1992)"
3024,9836.0,C1=CC(=CC=C1CSC2=CC=C(C=C2)F)Cl,INSOL IN WATER; SOL IN ACETONE & OILS,INSOL IN WATER; SOL IN ACETONE & OILS
3025,9862.0,CC(=CCCC(=O)C)C,3351 /mg/L @ 20 °C (exp),"INSOL IN WATER; SOL IN ALL PROP WITH ALCOHOL, ETHER"
3026,9863.0,[C-]#[Si+],"Insoluble (NIOSH, 2016)","Insoluble (NIOSH, 2024)"
3027,9864.0,C(#N)N,"78 % at 59° F (NIOSH, 2016)","78 % at 59 °F (NIOSH, 2024)"
3028,9865.0,C1CS1,Slightly soluble in ethanol and ether; soluble in acetone and chloroform,Slightly soluble in ethanol and ether; soluble in acetone and chloroform
3029,9868.0,CC(F)(F)F,"In water, 548 mg/L at 25 °C (est)","Soluble in ethyl ether, chloroform"
3030,9880.0,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,Very soluble in dichloromethane and acetone; soluble in methanol; sparingly soluble in ethanol.,Very soluble in dichloromethane and acetone; soluble in methanol; sparingly soluble in ethanol.
3031,9895.0,CC1=C(C(CCC1)(C)C)C=O,86.14 mg/L @ 25 Â°C (est),
3032,9903.0,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,"less than 1 mg/mL at 67.5° F (NTP, 1992)","less than 1 mg/mL at 67.5 °F (NTP, 1992)"
3033,9904.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,0.01 M,"Soluble in ether, chloroform, and alcohol"
3034,9912.0,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O.C1=CC(=CN=C1)C(=O)O,>65.2 [ug/mL],>65.2 [ug/mL] (The mean of the results at pH 7.4)
3035,9913.0,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O,<1 mg/mL,<1 mg/mL
3036,9916.0,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl,"1 to 5 mg/mL at 66Â° F (NTP, 1992)",
3037,9935.0,C1=CC=C(C(=C1)C(=O)O)F,0.05 M,
3038,9937.0,C1=CC(=C(C=C1F)O)[N+](=O)[O-],0.01 M,
3039,9955.0,C1=C2C(=NC(=N1)N)N=CN2,>20.3 [ug/mL],>20.3 [ug/mL] (The mean of the results at pH 7.4)
3040,9958.0,CC1=CC(=C(C=C1)O)O,2.49e+004 mg/L @ 25 °C (est),
3041,9959.0,COC(=O)CF,"In water, 1.17X10+5 mg/L at 25 °C (est)",Soluble in water
3042,9968.0,C1=CC(=CC(=C1)F)C(=O)O,0.01 M,
3043,9973.0,C1=CC(=CC=C1C(=O)O)F,0.01 M,
3044,9974.0,C1=CC(=CC(=C1)F)CCl,0.00 M,
3045,9985.0,CCCC1CCCCN1,"SOLUBLE IN ALCOHOL, ETHER, ACETONE, BENZENE, AMYL ALCOHOL; SLIGHTLY SOL IN CHLOROFORM; ONE ML DISSOLVES IN 90 ML WATER, LESS SOL IN HOT WATER; THE BASE DISSOLVES ABOUT 25% WATER AT ROOM TEMPERATURE","SOLUBLE IN ALCOHOL, ETHER, ACETONE, BENZENE, AMYL ALCOHOL; SLIGHTLY SOL IN CHLOROFORM; ONE ML DISSOLVES IN 90 ML WATER, LESS SOL IN HOT WATER; THE BASE DISSOLVES ABOUT 25% WATER AT ROOM TEMPERATURE"
3046,9988.0,CCOC(=O)CF,SOL IN WATER,SOL IN WATER
3047,9989.0,CC(=CCCC(=CC(=O)O)C)C,108.2 mg/L @ 25 °C (est),
3048,9997.0,C#CC#C,0.19 M,
3049,9999.0,C(#N)C#N,"1 % (NIOSH, 2016)","1 % (NIOSH, 2024)"
3050,10005.0,C(#N)N=C(N)N,0.49 M,"SOLUBILITY IN H2O @ 13 °C: 2.26%; MORE SOL IN HOT H2O; SOLUBILITY IN ABS ETHANOL @ 13 °C: 1.26%, IN ETHER @ 13 °C: 0.01%; SOL IN LIQUID AMMONIA, INSOL IN BENZENE & CHLOROFORM"
3051,10006.0,C1C(=O)NC(=O)N1,>15 [ug/mL],>15 [ug/mL] (The mean of the results at pH 7.4)
3052,10007.0,CC(C)(CC1=CC=C(C=C1)Cl)N,WHITE TO OFF-WHITE POWDER; ODORLESS & HAS BITTER TASTE; FREELY SOL IN WATER & ALC; SPARINGLY SOL IN CHLOROFORM; PRACTICALLY INSOL IN ETHER /CHLORPHENTERMINE HYDROCHLORIDE/,WHITE TO OFF-WHITE POWDER; ODORLESS & HAS BITTER TASTE; FREELY SOL IN WATER & ALC; SPARINGLY SOL IN CHLOROFORM; PRACTICALLY INSOL IN ETHER /CHLORPHENTERMINE HYDROCHLORIDE/
3053,10008.0,C1=CC=C(C=C1)F,"1 to 10 mg/mL at 68° F (NTP, 1992)","1 to 10 mg/mL at 68 °F (NTP, 1992)"
3054,10009.0,C1=CC(=CN=C1)N,10.62 M,
3055,10020.0,C(C(=O)O)NC(=O)N,0.26 M,
3056,10026.0,CCCCCON=O,"Decomposes (NTP, 1992)","Decomposes (NTP, 1992)"
3057,10037.0,C=C=C,"INSOL IN WATER; SOL IN BENZENE, PETROLEUM ETHER","INSOL IN WATER; SOL IN BENZENE, PETROLEUM ETHER"
3058,10038.0,C=C=O,"Reacts with water (NIOSH, 2016)","Reacts with water (NIOSH, 2024)"
3059,10039.0,C(=O)=S,"In water, 1,220 mg/L at 25 °C","In water, 1,220 mg/L at 25 °C"
3060,10040.0,C(=S)(Cl)Cl,"Insoluble in water, soluble in ethanol and ethyl ether","Insoluble in water, soluble in ethanol and ethyl ether"
3061,10041.0,CC(C)(C)C,4.60e-04 M,"In water, 33.2 mg/L at 25 °C"
3062,10045.0,CC(C(C)(C)C)O,"Very soluble ethanol, ethyl ether","Very soluble ethanol, ethyl ether"
3063,10046.0,C([N+](=O)[O-])(Br)(Br)Br,"less than 1 mg/mL at 64° F (NTP, 1992)","less than 1 mg/mL at 64 °F (NTP, 1992)"
3064,10049.0,C[C@]12CC[C@@H](C1(C)C)C[C@H]2O,"In water, 738 mg/L at 25 °C","In water, 738 mg/L at 25 °C"
3065,10050.0,C[C@]12CCC(C1(C)C)CC2=O,"1 g/800 mL at 77° F (NTP, 1992)","1 g/800 mL at 77 °F (NTP, 1992)"
3066,10066.0,C1[C@H]2C=C[C@H]1[C@H]3[C@@H]2[C@@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl,"In water, 0.014 mg/L at 25 °C (est)",
3067,10083.0,C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,"In water, 219.8 mg/L at 25 Â°C (est)",
3068,10087.0,C1=CC=C2C(=C1)C3=CC=CC=C3C2(C(=O)O)O,0.01 M,
3069,10098.0,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5C(=O)C4=C3C)C)O)C)NC1,"SOL IN ALCOHOL, ACETONE, CHLOROFORM","SOL IN ALCOHOL, ACETONE, CHLOROFORM"
