Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
1000,5325.0,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,>32.1 [ug/mL],
1001,5326.0,COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,>42 [ug/mL],>42 [ug/mL] (The mean of the results at pH 7.4)
1002,5327.0,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,"less than 1 mg/mL at 68.9° F (NTP, 1992)","less than 1 mg/mL at 68.9 °F (NTP, 1992)"
1003,5328.0,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,>40.5 [ug/mL],>40.5 [ug/mL] (The mean of the results at pH 7.4)
1004,5329.0,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,>38 [ug/mL],>38 [ug/mL] (The mean of the results at pH 7.4)
1005,5333.0,C1=CC(=CC=C1N)S(=O)(=O)N,>25.8 [ug/mL],>25.8 [ug/mL] (The mean of the results at pH 7.4)
1006,5335.0,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,0.6 [ug/mL],0.6 [ug/mL] (The mean of the results at pH 7.4)
1007,5336.0,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,33.1 [ug/mL],33.1 [ug/mL] (The mean of the results at pH 7.4)
1008,5338.0,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,>45.1 [ug/mL],>45.1 [ug/mL] (The mean of the results at pH 7.4)
1009,5339.0,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,"less than 1 mg/mL at 77° F (NTP, 1992)",
1010,5340.0,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,"Insoluble (<1 mg/ml at 70° F) (NTP, 1992)","Insoluble (<1 mg/ml at 70 °F) (NTP, 1992)"
1011,5342.0,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,>60.7 [ug/mL],>60.7 [ug/mL] (The mean of the results at pH 7.4)
1012,5343.0,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)N,0.01 M,
1013,5344.0,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,>40.1 [ug/mL],>40.1 [ug/mL] (The mean of the results at pH 7.4)
1014,5350.0,CS(=O)CCCCN=C=S,1.382e+004 mg/L @ 25 °C (est),
1015,5351.0,C1=CC(=CC=C1NCS(=O)O)S(=O)(=O)C2=CC=C(C=C2)NCS(=O)O,2.63e+00 g/L,2.63e+00 g/L
1016,5355.0,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,>51.2 [ug/mL],>51.2 [ug/mL] (The mean of the results at pH 7.4)
1017,5358.0,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,40.3 [ug/mL],40.3 [ug/mL] (The mean of the results at pH 7.4)
1018,5359.0,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,limited solubility,limited solubility
1019,5361.0,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,8.72e-03 g/L,8.72e-03 g/L
1020,5366.0,CCN(CC)CCS(=O)(=O)C1CCN2C1C(=O)OC(C(C=CC(=O)NCC=CC(=CC(CC(=O)CC3=NC(=CO3)C2=O)O)C)C)C(C)C,"In water, 26.88 mg/L at 25 °C (est)",
1021,5372.0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,"In water, 1.824X10-2 mg/L at 25 °C (est)",
1022,5381.0,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,Soluble,Soluble
1023,5383.0,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,0.01 M,"Solubility in benzene 3.7, hexane 6.1, 2-methoxyethanol 60, acetonitrile 60, acetone 70, methanol 170, chloroform 250 (all in g/L, 25 °C)"
1024,5386.0,C1CC(OC1)N2C=C(C(=O)NC2=O)F,29.9 [ug/mL],29.9 [ug/mL] (The mean of the results at pH 7.4)
1025,5392.0,COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC,"Insoluble (NIOSH, 2016)","Insoluble (NIOSH, 2024)"
1026,5401.0,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,1.50e+00 g/L,1.50e+00 g/L
1027,5413.0,CC[N+](CC)(CC)CC,Soluble in water.,Soluble in water.
1028,5416.0,[Kr],Solubility in water: none,Solubility in water: none
1029,5419.0,C1CC(C2=CC=CC=C2C1)C3=NCCN3,"In water, 31.09 mg/L at 25 °C (est)",
1030,5426.0,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,"less than 1 mg/mL at 72° F (NTP, 1992)","less than 1 mg/mL at 72 Â°F (NTP, 1992)"
1031,5429.0,CN1C=NC2=C1C(=O)NC(=O)N2C,"less than 1 mg/mL at 64° F (NTP, 1992)","less than 1 mg/mL at 64 °F (NTP, 1992)"
1032,5430.0,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,>30.2 [ug/mL],>30.2 [ug/mL] (The mean of the results at pH 7.4)
1033,5443.0,C1=CC=C(C(=C1)C(=O)O)S,SOL IN WATER /SODIUM SALT/,SOL IN WATER /SODIUM SALT/
1034,5447.0,C(CSCCO)O,8.18 M,"In water, miscible at 20 °C"
1035,5453.0,C1CN1P(=S)(N2CC2)N3CC3,>28.4 [ug/mL],>28.4 [ug/mL] (The mean of the results at pH 7.4)
1036,5454.0,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,"Pratically insoluble in water (cis-, trans- mixture)","Pratically insoluble in water (cis-, trans- mixture)"
1037,5455.0,CN(C)C(=S)SSC(=S)N(C)C,"less than 1 mg/mL at 72° F (NTP, 1992)","less than 1 mg/mL at 72 Â°F (NTP, 1992)"
1038,5456.0,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2,Soluble,Soluble
1039,5457.0,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2,Highly Soluble,Highly Soluble
1040,5468.0,CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O,3.24e-02 g/L,3.24e-02 g/L
1041,5472.0,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1 [ug/mL],1 [ug/mL] (The mean of the results at pH 7.4)
1042,5478.0,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,2.69e-01 g/L,2.69e-01 g/L
