Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
0,4.0,CC(CN)O,"greater than or equal to 100 mg/mL at 67.6° F (NTP, 1992)","greater than or equal to 100 mg/mL at 67.6 °F (NTP, 1992)"
1,6.0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,13.8 [ug/mL],13.8 [ug/mL] (The mean of the results at pH 7.4)
2,11.0,C(CCl)Cl,"5 to 10 mg/mL at 66° F (NTP, 1992)","5 to 10 mg/mL at 66 °F (NTP, 1992)"
3,13.0,C1=CC(=C(C=C1Cl)Cl)Cl,"less than 1 mg/mL at 70Â° F (NTP, 1992)","less than 1 mg/mL at 70 °F (NTP, 1992)"
4,19.0,C1=CC(=C(C(=C1)O)O)C(=O)O,2.612e+004 mg/L @ 25 °C (est),
5,33.0,C(C=O)Cl,"greater than or equal to 100 mg/mL at 66° F (NTP, 1992)","greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)"
6,34.0,C(CCl)O,"greater than or equal to 100 mg/mL at 66° F (NTP, 1992)","greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)"
7,45.0,C(C(=O)O)(C(=O)O)O,1e+006 mg/L @ 25 °C (est),
8,47.0,CCC(C)C(=O)C(=O)O,Soluble in water,Soluble in water
9,49.0,CC(C)C(=O)C(=O)O,Soluble in water,Soluble in water
10,58.0,CCC(=O)C(=O)O,119 mg/mL,119 mg/mL
11,66.0,C1=CC(=C(C=C1Cl)O)Cl,"less than 1 mg/mL at 68° F (NTP, 1992)","less than 1 mg/mL at 68 °F (NTP, 1992)"
12,70.0,CC(C)CC(=O)C(=O)O,32 mg/mL,32 mg/mL
13,79.0,C1=CC(=CN=C1)C#N,1.30 M,Soluble in hot petroleum ether
14,86.0,C1=CC(=C(C(=C1)O)N)C(=O)O,"SLIGHTLY SOL IN WATER, SOL IN HOT WATER, ALCOHOL, ETHER; SOL IN CHLOROFORM","SLIGHTLY SOL IN WATER, SOL IN HOT WATER, ALCOHOL, ETHER; SOL IN CHLOROFORM"
15,91.0,C1=CC(=CC(=C1)O)CCC(=O)O,1.737e+004 mg/L @ 25 °C (est),
16,93.0,C(CC(=O)O)C(=O)CC(=O)O,1e+006 mg/L @ 25 Â°C (est),
17,101.0,C1=CC(=CC(=C1)O)C=O,0.23 M,
18,102.0,C1=CC(=CC(=C1)O)CO,0.54 M,
19,109.0,C(C(C(=O)O)N)S(=O)O,>23 [ug/mL],>23 [ug/mL] (The mean of the results at pH 7.4)
20,111.0,C(CNC(=O)N)C(=O)O,0.16 M,20.9 mg/mL
21,119.0,C(CC(=O)O)CN,1.2 [ug/mL],1.2 [ug/mL] (The mean of the results at pH 7.4)
22,125.0,C1=CC(=CC=C1CO)O,0.05 M,6700 mg/L @ 20 °C (exp)
23,126.0,C1=CC(=CC=C1C=O)O,0.05 M,
24,127.0,C1=CC(=CC=C1CC(=O)O)O,0.40 M,60.7 mg/mL
25,135.0,C1=CC(=CC=C1C(=O)O)O,0.04 M,Solubility (in 100 g of solution): 99% ethanol 38.75 g (67 °C); n-butanol 19.5 g (32.5 °C)
26,137.0,C(CC(=O)O)C(=O)CN,18.6 [ug/mL],18.6 [ug/mL] (The mean of the results at pH 7.4)
27,138.0,C(CCN)CC(=O)O,8.54 M,1000 mg/mL at 20 Â°C
28,144.0,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,Solubilities: 2.5 g/100 mL in 50% boiling alcohol; 5.5 g/100 mL in water at 100 °C,Solubilities: 2.5 g/100 mL in 50% boiling alcohol; 5.5 g/100 mL in water at 100 °C
29,174.0,C(CO)O,"greater than or equal to 100 mg/mL at 63.5° F (NTP, 1992)","greater than or equal to 100 mg/mL at 63.5 °F (NTP, 1992)"
30,176.0,CC(=O)O,"greater than or equal to 100 mg/mL at 73° F (NTP, 1992)","greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)"
31,177.0,CC=O,"0.1 to 1.0 mg/mL at 66° F (NTP, 1992)","0.1 to 1.0 mg/mL at 66 °F (NTP, 1992)"
32,178.0,CC(=O)N,"Very soluble (greater than or equal to 100 mg/mL at 72° F) (NTP, 1992)","Very soluble (greater than or equal to 100 mg/mL at 72 °F) (NTP, 1992)"
33,179.0,CC(C(=O)C)O,11.35 M,"Sparingly soluble in ether, petroleum ether"
34,180.0,CC(=O)C,"greater than or equal to 100 mg/mL at 72° F (NTP, 1992)","greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)"
35,190.0,C1=NC2=NC=NC(=C2N1)N,>20.3 [ug/mL],>20.3 [ug/mL] (The mean of the results at pH 7.4)
36,191.0,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,>40.1 [ug/mL],>40.1 [ug/mL] (The mean of the results at pH 7.4)
37,196.0,C(CCC(=O)O)CC(=O)O,Slightly soluble in water. Freely soluble in ethanol,Slightly soluble in water. Freely soluble in ethanol
38,203.0,C(C(=O)O)(NC(=O)N)NC(=O)N,1e+006 mg/L @ 25 °C (est),
39,204.0,C1(C(=O)NC(=O)N1)NC(=O)N,0.03 M,"Soluble in alcohol, methanol, pyridine"
40,205.0,CC(C(C(=O)O)N)O,Sparingly soluble in water; Soluble in buffer systems pH 5.5,Sparingly soluble in water; Soluble in buffer systems pH 5.5
41,220.0,CCOP(=S)(OCC)OC1=CC=C(C=C1)N,0.00 M,0.39 mg/mL
42,222.0,N,"In water, 4.82X10+5 mg/L at 24 °C","34 % (NIOSH, 2024)"
43,223.0,[NH4+],10.2 mg/mL at 20 °C,10.2 mg/mL at 20 °C
44,227.0,C1=CC=C(C(=C1)C(=O)O)N,"less than 0.1 mg/mL at 68° F (NTP, 1992)","less than 0.1 mg/mL at 68 °F (NTP, 1992)"
45,234.0,O[As](=O)(O)O,"Freely sol in alcohol, glycerol /Hemihydrate/","Freely sol in alcohol, glycerol /Hemihydrate/"
46,237.0,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,Slight,Slight
47,240.0,C1=CC=C(C=C1)C=O,"less than 0.1 mg/mL at 67.1° F (NTP, 1992)","less than 0.1 mg/mL at 67.1 °F (NTP, 1992)"
48,241.0,C1=CC=CC=C1,"1 to 5 mg/mL at 64° F (NTP, 1992)","1 to 5 mg/mL at 64 °F (NTP, 1992)"
49,243.0,C1=CC=C(C=C1)C(=O)O,"less than 1 mg/mL at 68° F (NTP, 1992)","less than 1 mg/mL at 68 °F (NTP, 1992)"
50,244.0,C1=CC=C(C=C1)CO,"10 to 50 mg/mL at 70° F (NTP, 1992)","10 to 50 mg/mL at 70 °F (NTP, 1992)"
51,247.0,C[N+](C)(C)CC(=O)[O-],"Solubility (g/100 g solvent): methanol, 55; ethanol, 8.7. Sparingly soluble in ether.",Soluble
52,248.0,C[N+](C)(C)CC(=O)O,611.0 mg/mL at 19 °C,611.0 mg/mL at 19 °C
53,258.0,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,"In acetic acid >30 g/l (20 °C). Practically insoluble in acetone, benzene, carbon tetrachloride, chloroform, cyclohexane, dioxane, ethanol, diethyl ether, ethyl acetate, methanol, pyridine, xylene.","In acetic acid >30 g/l (20 °C). Practically insoluble in acetone, benzene, carbon tetrachloride, chloroform, cyclohexane, dioxane, ethanol, diethyl ether, ethyl acetate, methanol, pyridine, xylene."
54,259.0,[Br-],35 mg/mL at 20 °C,35 mg/mL at 20 °C
55,260.0,Br,"49 % (NIOSH, 2016)","49 % (NIOSH, 2024)"
56,261.0,CCCC=O,"less than 1 mg/mL at 66° F (NTP, 1992)","less than 1 mg/mL at 66 °F (NTP, 1992)"
57,262.0,CC(C(C)O)O,11.10 M,"In water, miscible at 20 °C"
58,263.0,CCCCO,"9 % (NIOSH, 2016)","9 % (NIOSH, 2024)"
59,264.0,CCCC(=O)O,"greater than or equal to 100 mg/mL at 66° F (NTP, 1992)","greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)"
60,273.0,C(CCN)CCN,"Soluble in water, ethanol; slightly soluble in ethyl ether","Soluble in water, ethanol; slightly soluble in ethyl ether"
61,275.0,C(CON=C(N)N)C(C(=O)O)N,"In water, 1.0X10+6 mg/L at 25 °C (est)",Very soluble in water
62,277.0,C(=O)(N)O,1e+006 mg/L @ 25 °C (est),
63,280.0,C(=O)=O,"0.2 % at 77° F (NIOSH, 2016)","0.2 % at 77 °F (NIOSH, 2024)"
64,281.0,[C-]#[O+],"2 % (NIOSH, 2016)","2 % (NIOSH, 2024)"
65,284.0,C(=O)O,"greater than or equal to 100 mg/mL at 70° F (NTP, 1992)","greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)"
66,289.0,C1=CC=C(C(=C1)O)O,"greater than or equal to 100 mg/mL at 70.7° F (NTP, 1992)","greater than or equal to 100 mg/mL at 70.7 Â°F (NTP, 1992)"
67,294.0,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,"Insoluble (NIOSH, 2016)","Insoluble (NIOSH, 2024)"
68,297.0,C,"3.5 mL/100 mL at 63° F (NTP, 1992)","3.5 mL/100 mL at 63 °F (NTP, 1992)"
69,298.0,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],>48.5 [ug/mL],
70,299.0,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,"less than 1 mg/mL at 73° F (NTP, 1992)","less than 1 mg/mL at 73 °F (NTP, 1992)"
71,300.0,C(C(=O)O)Cl,"greater than or equal to 100 mg/mL at 68° F (NTP, 1992)","greater than or equal to 100 mg/mL at 68 °F (NTP, 1992)"
72,301.0,C1=CC(=C(C=C1O)Cl)O,"VERY SOL IN WATER AND ALC, SLIGHTLY SOL IN ETHER","VERY SOL IN WATER AND ALC, SLIGHTLY SOL IN ETHER"
73,305.0,C[N+](C)(C)CCO,Soluble,Soluble
74,307.0,C1=CC=C(C=C1)C=CC=O,0.01 M,
75,308.0,C1=CC=C(C=C1)C=CCO,6188 mg/L @ 25 °C (est),
76,309.0,C(C(=CC(=O)O)C(=O)O)C(=O)O,2.45 M,"1 G DISSOLVES IN 5.5 ML WATER @ 13 °C, 2 ML @ 25 °C; SOL IN 2 PARTS 88% ALCOHOL @ 12 °C; SLIGHTLY SOL IN ETHER"
